element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
411,5,9,0,True,2020-09-13T13:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,8154,0,0
411,12,7,1,False,2020-09-19T11:30:00Z,5,2,2,19,0,0,0,0,0,0,0,0,0,0,0,1,4.2,0.1,0.0,0.4,54,-2566,6107,296,2862
411,27,5,1,True,2020-09-26T16:30:00Z,3,3,3,16,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.0,8.0,0.8,53,-1394,4945,273,1667
411,37,16,0,False,2020-10-04T11:00:00Z,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-510,4638,440,950
411,48,4,0,True,2020-10-19T16:30:00Z,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,-1,0.2,0.5,2.0,0.3,52,-676,4064,199,875
411,51,3,1,False,2020-10-26T17:30:00Z,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,0.0,0.0,52,-363,3802,171,534
411,61,8,1,False,2020-11-02T17:30:00Z,2,0,7,20,0,0,0,0,0,0,0,0,0,0,0,8,8.0,24.5,2.0,3.5,52,-221,3650,127,348
411,77,17,1,True,2020-11-08T12:00:00Z,0,1,8,6,0,0,0,1,0,0,0,0,0,0,0,3,2.4,0.3,2.0,0.5,51,-211,3504,105,316
411,84,13,0,False,2020-11-21T20:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-91,3494,189,280
411,97,15,1,True,2020-11-28T20:00:00Z,1,0,10,15,0,0,0,0,0,0,0,0,0,0,0,3,2.4,0.8,2.0,0.5,51,-97,3460,122,219
411,107,6,2,True,2020-12-06T12:00:00Z,1,5,11,90,0,0,0,5,0,0,0,0,0,0,0,18,17.2,52.4,21.0,9.1,51,-110,3385,126,236
411,116,14,6,False,2020-12-12T15:00:00Z,2,1,12,90,0,1,0,2,0,0,0,0,0,0,1,21,34.6,41.5,8.0,8.4,51,52,3499,245,193
411,128,12,2,False,2020-12-15T20:00:00Z,1,1,13,86,0,0,0,1,0,0,0,0,0,0,0,5,3.4,18.8,3.0,2.5,51,383,3964,580,197
411,138,2,2,True,2020-12-20T19:15:00Z,0,3,14,76,0,0,0,1,0,0,0,0,0,0,0,3,2.8,1.3,9.0,1.3,51,-8,3979,291,299
411,144,11,2,False,2020-12-27T16:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,3,8.6,2.0,2.0,1.3,51,-105,3922,213,318
411,158,10,1,True,2020-12-29T18:00:00Z,0,5,16,45,0,0,0,4,0,0,0,0,0,0,0,1,0.2,0.8,2.0,0.3,51,-5,3946,151,156
411,168,1,2,True,2021-01-02T20:00:00Z,0,4,17,80,0,0,0,4,0,0,0,0,0,0,0,9,12.8,26.6,19.0,5.8,51,-43,3944,185,228
411,188,20,0,False,2021-01-16T12:30:00Z,2,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,49,4013,213,164
411,175,19,0,False,2021-01-19T18:00:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,49,4013,213,164
411,193,12,1,True,2021-01-26T20:15:00Z,0,5,20,31,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.2,2.0,0.2,51,-203,3802,94,297
411,207,8,1,True,2021-01-30T15:00:00Z,2,2,21,7,0,0,0,0,0,0,0,0,0,0,0,4,4.0,4.3,0.0,0.8,51,-137,3683,46,183
411,214,15,9,False,2021-02-02T18:00:00Z,2,1,22,73,1,0,0,2,0,0,0,0,0,0,2,30,44.6,15.4,53.0,11.3,51,-79,3621,49,128
411,227,17,1,False,2021-02-07T12:00:00Z,2,0,23,21,0,0,0,0,0,0,0,0,0,0,0,3,4.2,14.3,0.0,1.9,51,90,3749,198,108
411,237,13,1,True,2021-02-14T14:00:00Z,1,1,24,3,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,51,-121,3642,68,189
411,242,4,1,False,2021-02-20T15:00:00Z,0,0,25,31,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.1,2.0,0.2,51,-8,3656,119,127
411,258,3,3,True,2021-02-27T15:00:00Z,1,0,26,71,0,0,1,0,0,0,0,0,0,0,0,6,4.8,0.9,4.0,1.0,51,-37,3657,173,210
411,287,7,2,True,2021-03-04T18:00:00Z,0,1,26,77,0,0,0,1,0,0,0,0,0,0,0,3,5.6,11.8,27.0,4.4,51,-37,3657,173,210
411,267,14,3,True,2021-03-07T12:00:00Z,0,0,27,82,0,0,1,0,0,0,0,0,0,0,0,10,8.0,22.8,15.0,4.6,51,190,3864,319,129
411,270,6,2,False,2021-03-13T15:00:00Z,1,0,28,70,0,0,0,1,0,0,0,0,0,0,0,6,6.6,16.0,26.0,4.9,51,-46,3848,191,237
