element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
351,8,20,1,True,2020-09-14T17:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,13,1.6,15.7,26.0,4.3,55,0,304826,0,0
351,10,2,2,False,2020-09-21T17:00:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,8,18.4,3.8,2.0,2.4,55,-35015,280431,5974,40989
351,25,10,1,True,2020-09-27T11:00:00Z,0,1,3,90,0,0,0,1,0,0,0,1,0,0,0,7,12.4,2.2,29.0,4.4,55,-38987,244605,5084,44071
351,29,1,4,False,2020-10-04T13:00:00Z,2,1,4,90,0,1,0,2,0,0,0,0,0,0,0,16,23.6,12.9,0.0,3.7,54,-42243,203736,1472,43715
351,46,8,2,True,2020-10-18T11:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,12,8.2,16.5,0.0,2.5,54,-7176,206350,18958,26134
351,54,11,1,False,2020-10-24T19:00:00Z,2,1,6,90,0,0,0,2,0,0,0,0,0,0,0,16,15.4,21.4,20.0,5.7,54,-27082,173191,1266,28348
351,66,12,2,True,2020-10-31T12:30:00Z,0,1,7,90,0,0,0,1,0,0,0,0,0,0,0,10,14.0,8.1,4.0,2.6,53,-16725,157961,1063,17788
351,71,5,0,False,2020-11-07T17:30:00Z,4,1,8,90,0,0,0,4,0,0,0,0,0,0,0,12,11.6,23.3,28.0,6.3,53,-13441,144676,798,14239
351,86,19,2,True,2020-11-22T14:00:00Z,0,1,9,90,0,0,0,1,0,0,0,0,0,0,0,20,21.4,14.7,21.0,5.7,52,-13099,131914,1850,14949
351,97,18,2,False,2020-11-28T20:00:00Z,1,0,10,90,0,0,0,1,0,0,0,0,0,0,0,11,15.8,28.0,26.0,7.0,52,-4993,128193,3335,8328
351,105,9,1,True,2020-12-06T14:15:00Z,1,2,11,90,0,0,0,2,0,0,0,0,0,0,0,7,5.8,5.9,0.0,1.2,52,-10158,117337,754,10912
351,117,16,1,False,2020-12-13T12:00:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,0,0,7,13.6,1.0,0.0,1.5,51,-7916,110112,578,8494
351,124,13,1,True,2020-12-17T20:00:00Z,2,3,13,90,0,0,0,3,0,0,0,0,0,0,0,13,12.6,16.0,2.0,3.1,51,-6551,103769,303,6854
351,129,3,2,False,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,5,7.0,1.0,0.0,0.8,51,-4601,99444,1015,5616
351,146,7,1,True,2020-12-26T20:00:00Z,0,1,15,90,0,0,0,1,0,0,0,1,0,0,0,4,4.6,3.5,6.0,1.4,50,-5658,93769,738,6396
351,150,4,2,False,2020-12-29T18:00:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,9,1.8,16.1,10.0,2.8,50,-2408,91653,1107,3515
351,162,6,0,False,2021-01-02T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-3183,88607,780,3963
351,174,14,0,True,2021-01-12T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-5903,80735,1292,7195
351,186,17,0,True,2021-01-17T14:00:00Z,1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-5479,76823,15,5494
351,192,13,2,False,2021-01-27T20:15:00Z,1,2,20,90,0,0,0,1,0,0,0,0,0,0,0,5,3.6,11.5,4.0,1.9,49,-2870,74905,161,3031
351,205,12,1,False,2021-01-30T15:00:00Z,1,0,21,90,0,0,0,1,0,0,0,1,0,0,0,1,3.0,1.8,2.0,0.7,49,-1172,73846,294,1466
351,214,18,1,True,2021-02-02T18:00:00Z,2,1,22,43,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1.3,0.0,0.0,49,836,74855,2143,1307
351,226,5,0,True,2021-02-07T19:15:00Z,1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-3203,71614,124,3327
351,238,19,0,False,2021-02-15T18:00:00Z,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-3667,67812,15,3682
