element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
438,6,14,0,True,2020-09-12T19:00:00Z,0,2,1,90,0,0,0,2,0,0,0,1,0,0,0,14,19.4,62.3,2.0,8.4,45,0,41931,0,0
438,9,1,3,False,2020-09-19T19:00:00Z,2,1,2,90,0,1,0,2,0,0,0,1,0,0,0,20,26.8,21.9,4.0,5.3,45,-7919,35945,1144,9063
438,28,20,1,True,2020-09-27T18:00:00Z,4,0,3,48,0,0,0,0,0,0,0,0,0,0,0,9,14.2,25.6,0.0,4.0,45,-191,38706,5768,5959
438,34,9,0,False,2020-10-04T11:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-10641,27570,422,11063
438,47,17,0,False,2020-10-18T15:30:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-4844,23268,724,5568
438,57,12,0,True,2020-10-24T11:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1282,22446,800,2082
438,63,11,0,False,2020-10-31T17:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1395,21249,341,1736
438,78,8,0,True,2020-11-07T20:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1366,19984,294,1660
438,86,15,0,False,2020-11-22T14:00:00Z,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1147,18981,405,1552
438,98,2,0,True,2020-11-30T20:00:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-784,18340,314,1098
438,108,13,0,True,2020-12-05T17:30:00Z,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1013,17337,217,1230
438,113,10,0,False,2020-12-11T20:00:00Z,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1214,16186,81,1295
438,125,6,0,True,2020-12-16T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,247,16636,821,574
438,131,5,1,False,2020-12-21T20:00:00Z,3,0,14,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,42,-163,16463,429,592
438,147,3,0,True,2020-12-27T14:15:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,451,17146,1313,862
438,156,16,6,False,2020-12-29T18:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,23,24.2,11.9,55.0,9.1,42,-173,16957,473,646
438,163,7,0,False,2021-01-01T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,1881,19044,2871,990
438,187,4,0,True,2021-01-16T15:00:00Z,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,22,17669,1266,1244
438,175,18,0,True,2021-01-19T18:00:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,22,17669,1266,1244
438,195,6,1,False,2021-01-26T18:00:00Z,2,3,20,9,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.3,2.0,0.3,42,-411,17090,800,1211
438,208,11,1,True,2021-01-31T16:30:00Z,1,3,21,11,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.5,0.0,0.1,42,-378,16753,360,738
438,209,2,2,False,2021-02-03T20:15:00Z,1,3,22,83,0,0,0,1,0,0,0,0,0,0,0,17,15.2,34.3,4.0,5.4,42,-327,16478,201,528
